Регион;Координата X;Координата Y
алтайский край;1068.0;445.0
амурская область;1335.0;267.0
архангельская область;712.0;178.0
астраханская область;623.0;712.0
белгородская область;356.0;623.0
брянская область;89.0;445.0
владимирская область;445.0;356.0
волгоградская область;534.0;623.0
вологодская область;356.0;178.0
воронежская область;445.0;623.0
москва;267.0;356.0
санкт-петербург;178.0;178.0
еврейская автономная область;1335.0;356.0
забайкальский край;1246.0;445.0
ивановская область;445.0;267.0
иркутская область;1246.0;267.0
кабардино-балкарская республика;356.0;890.0
калининградская область;0.0;178.0
калужская область;178.0;445.0
камчатский край;1513.0;178.0
карачаево-черкесская республика;356.0;801.0
кемеровская область;1157.0;267.0
кировская область;712.0;267.0
костромская область;534.0;267.0
краснодарский край;356.0;712.0
красноярский край;1157.0;178.0
курганская область;979.0;356.0
курская область;267.0;534.0
ленинградская область;178.0;267.0
липецкая область;356.0;534.0
магаданская область;1424.0;178.0
московская область;356.0;356.0
мурманская область;356.0;0.0
ненецкий автономный округ;801.0;89.0
нижегородская область;534.0;356.0
новгородская область;267.0;178.0
новосибирская область;1068.0;356.0
омская область;979.0;445.0
оренбургская область;712.0;534.0
орловская область;267.0;445.0
пензенская область;534.0;534.0
пермский край;801.0;267.0
приморский край;1424.0;445.0
псковская область;89.0;356.0
республика адыгея;267.0;712.0
республика алтай;1068.0;534.0
республика башкортостан;801.0;445.0
республика бурятия;1246.0;356.0
республика дагестан;623.0;801.0
республика ингушетия;534.0;890.0
республика калмыкия;534.0;712.0
республика карелия;267.0;89.0
республика коми;801.0;178.0
республика крым;178.0;712.0
республика марий эл;623.0;267.0
республика мордовия;534.0;445.0
республика саха (якутия);1335.0;178.0
республика северная осетия - алания;445.0;890.0
республика татарстан;712.0;356.0
республика тыва;1157.0;445.0
республика хакасия;1157.0;356.0
ростовская область;445.0;712.0
рязанская область;445.0;445.0
самарская область;712.0;445.0
саратовская область;623.0;534.0
сахалинская область;1602.0;356.0
свердловская область;890.0;356.0
смоленская область;178.0;356.0
ставропольский край;445.0;801.0
тамбовская область;445.0;534.0
тверская область;267.0;267.0
томская область;1068.0;267.0
тульская область;356.0;445.0
тюменская область;979.0;267.0
удмуртская республика;801.0;356.0
ульяновская область;623.0;445.0
хабаровский край;1424.0;267.0
ханты-мансийский автономный округ - югра;890.0;267.0
челябинская область;890.0;445.0
чеченская республика;534.0;801.0
чувашская республика;623.0;356.0
чукотский автономный округ;1424.0;89.0
ямало-ненецкий автономный округ;890.0;178.0
ярославская область;356.0;267.0
севастополь;178.0;801.0
