Регион;Доля населения с высшим образованием, %
алтайский край;17.06
амурская область;19.08
архангельская область;18.81
астраханская область;20.41
белгородская область;21.62
брянская область;19.51
владимирская область;19.48
волгоградская область;19.84
вологодская область;19.59
воронежская область;22.77
еврейская автономная область;16.25
забайкальский край;15.68
ивановская область;19.69
иркутская область;19.75
кабардино-балкарская республика;19.74
калининградская область;23.96
калужская область;22.18
камчатский край;25.26
карачаево-черкесская республика;24.07
кемеровская область;18.49
кировская область;18.73
костромская область;19.32
краснодарский край;19.74
красноярский край;20.51
курганская область;16.11
курская область;22.11
ленинградская область;22.44
липецкая область;21.49
магаданская область;25.79
москва;35.05
московская область;29.64
мурманская область;24.44
ненецкий автономный округ;21.14
нижегородская область;22.95
новгородская область;18.85
новосибирская область;24.1
омская область;19.8
оренбургская область;18.32
орловская область;23.35
пензенская область;20.27
пермский край;17.87
приморский край;20.4
псковская область;20.2
республика адыгея;20.95
республика алтай;20.14
республика башкортостан;18.18
республика бурятия;21.64
республика дагестан;13.33
республика ингушетия;12.53
республика калмыкия;24.61
республика карелия;21.23
республика коми;20.22
республика крым;21.9
республика марий эл;19.89
республика мордовия;23.34
республика саха (якутия);22.34
республика северная осетия - алания;24.75
республика татарстан;23.88
республика тыва;17.48
республика хакасия;18.35
ростовская область;21.44
рязанская область;21.09
самарская область;23.81
санкт-петербург;34.06
саратовская область;21.01
сахалинская область;22.91
свердловская область;20.6
севастополь;33.77
смоленская область;21.17
ставропольский край;20.2
тамбовская область;18.81
тверская область;18.57
томская область;23.9
тульская область;20.3
тюменская область;24.61
удмуртская республика;20.69
ульяновская область;19.29
хабаровский край;23.76
ханты-мансийский автономный округ - югра;25.95
челябинская область;20.39
чеченская республика;13.1
чувашская республика;22.13
чукотский автономный округ;23.01
ямало-ненецкий автономный округ;29.39
ярославская область;22.4
