Регион;Рейтинговый балл финансового благополучия населения
ямало-ненецкий автономный округ;96.96
магаданская область;91.83
чукотский автономный округ;88.04
ханты-мансийский автономный округ - югра;83.76
москва;82.66
ненецкий автономный округ;81.75
санкт-петербург;79.90
сахалинская область;77.09
мурманская область;70.39
московская область;67.14
камчатский край;62.46
белгородская область;58.16
свердловская область;57.86
республика татарстан;57.20
липецкая область;55.72
калужская область;55.70
ленинградская область;54.55
хабаровский край;54.47
воронежская область;54.27
нижегородская область;52.45
ярославская область;51.64
республика коми;50.94
тюменская область;50.02
самарская область;49.59
архангельская область;49.57
челябинская область;48.19
томская область;47.90
вологодская область;47.78
республика саха (якутия);47.37
тульская область;47.23
приморский край;46.79
республика карелия;46.45
кемеровская область;46.30
курская область;46.28
краснодарский край;45.79
новосибирская область;45.71
пермский край;44.83
амурская область;44.58
рязанская область;44.23
калининградская область;43.93
красноярский край;43.69
тверская область;43.52
владимирская область;43.38
волгоградская область;42.71
тамбовская область;41.91
новгородская область;41.37
орловская область;41.26
республика башкортостан;41.20
удмуртская республика;40.88
омская область;40.79
ростовская область;40.71
костромская область;40.69
оренбургская область;40.23
иркутская область;39.94
пензенская область;38.53
смоленская область;38.25
брянская область;38.03
ивановская область;38.00
кировская область;37.54
саратовская область;37.50
республика адыгея;34.96
астраханская область;34.51
ульяновская область;33.43
ставропольский край;32.80
чувашская республика;32.79
псковская область;32.30
севастополь;31.97
республика хакасия;30.41
республика мордовия;28.27
республика северная осетия - алания;26.57
республика марий эл;26.05
забайкальский край;25.94
еврейская автономная область;25.18
алтайский край;24.57
курганская область;23.94
республика бурятия;23.92
республика дагестан;22.32
республика крым;19.44
республика калмыкия;13.70
чеченская республика;10.82
кабардино-балкарская республика;10.14
республика алтай;9.43
карачаево-черкесская республика;6.34
республика тыва;5.25
республика ингушетия;1.85
