Регион;Уровень безработицы населения в возрасте 15 лет и старше, %
алтайский край;6.0
амурская область;6.0
архангельская область;7.3
астраханская область;7.9
белгородская область;4.9
брянская область;4.0
владимирская область;5.6
волгоградская область;7.6
вологодская область;6.1
воронежская область;4.3
еврейская автономная область;6.2
забайкальский край;9.8
ивановская область;5.4
иркутская область;7.7
кабардино-балкарская республика;14.8
калининградская область;5.9
калужская область;4.7
камчатский край;3.7
карачаево-черкесская республика;14.8
кемеровская область;6.7
кировская область;5.3
костромская область;5.5
краснодарский край;5.7
красноярский край;6.0
курганская область;8.1
курская область;4.8
ленинградская область;5.3
липецкая область;4.3
магаданская область;5.7
москва;2.8
московская область;3.6
мурманская область;7.6
ненецкий автономный округ;8.9
нижегородская область;4.6
новгородская область;5.8
новосибирская область;6.7
омская область;8.9
оренбургская область;5.9
орловская область;6.1
пензенская область;4.9
пермский край;5.7
приморский край;5.3
псковская область;6.3
республика адыгея;8.4
республика алтай;13.9
республика башкортостан;5.9
республика бурятия;10.5
республика дагестан;15.8
республика ингушетия;31.1
республика калмыкия;9.5
республика карелия;8.7
республика коми;7.7
республика крым;6.3
республика марий эл;6.8
республика мордовия;5.4
республика саха (якутия);7.5
республика северная осетия - алания;15.4
республика татарстан;3.6
республика тыва;18.2
республика хакасия;8.6
ростовская область;5.0
рязанская область;5.3
самарская область;4.4
санкт-петербург;3.0
саратовская область;5.6
сахалинская область;5.5
свердловская область;5.8
севастополь;4.6
смоленская область;5.3
ставропольский край;6.2
тамбовская область;4.6
тверская область;4.4
томская область;8.7
тульская область;4.4
тюменская область;3.6
удмуртская республика;6.3
ульяновская область;4.9
хабаровский край;3.9
ханты-мансийский автономный округ - югра;3.0
челябинская область;6.8
чеченская республика;18.5
чувашская республика;6.0
чукотский автономный округ;4.4
ямало-ненецкий автономный округ;2.4
ярославская область;7.3
